contrast,homogeneity,energy,correlation,label
364.85984924623114,0.33829936229291807,0.29678369359062406,0.974267553488298,normal
393.40701005025124,0.15581584823403477,0.10311955267006921,0.9076581560463065,normal
309.53484924623115,0.15099742368924227,0.05839320039073409,0.881342249727215,normal
635.7311557788945,0.2865361494496037,0.25629980166028754,0.948526400964466,normal
392.4037939698493,0.06040619336863216,0.016620085491245818,0.3782663776842043,normal
211.04489949748745,0.14826056617763264,0.05228265895459933,0.9046242304847916,normal
277.7665075376885,0.07520845422987246,0.01691956888688054,0.6949525768569925,normal
375.8986683417085,0.3389659041254379,0.29677424526516916,0.9732343758183475,normal
413.38912060301516,0.15689862497625473,0.1043979343122721,0.9035814807517925,normal
301.1055025125628,0.14773239333783364,0.057004956242737874,0.8832269909083127,normal
625.021783919598,0.2853857506849406,0.25486697945741627,0.9486701970502488,normal
409.53163316582913,0.05807494957333996,0.015990937529698192,0.4133772455325101,normal
214.5933417085427,0.1489364517654572,0.05227735487552905,0.9016672724554949,normal
278.6556030150753,0.07627505686302685,0.01674253164397031,0.7196131887456167,normal
373.6255527638191,0.33727555662985587,0.2967720925343206,0.9733059412189143,normal
407.7168592964824,0.15663275391138357,0.10269266251672694,0.9029653383796378,normal
298.58899497487437,0.150893388767323,0.057565180173739926,0.884296843230815,normal
649.9264824120603,0.28645676810826565,0.25644423527230803,0.946552364744573,normal
393.8978140703517,0.06531559583598487,0.015930054446891963,0.4973016552526246,normal
223.9961055276382,0.14942157065740552,0.052228137425441815,0.8990809002906476,normal
345.76163316582915,0.07369323216581596,0.016504908275170406,0.6740486443280602,normal
362.7637939698493,0.34042209040604,0.29678183872837466,0.9743758927570059,normal
398.9843216080402,0.15686467843025914,0.10263432362642078,0.9039788354014131,normal
309.64103015075386,0.1521742442720274,0.05842646220740723,0.881480462263062,normal
634.9368592964825,0.28760430011432275,0.2564492128477548,0.948309694728042,normal
399.41620603015076,0.05982882590927774,0.01591452208936846,0.45217016548871286,normal
217.97472361809048,0.15054189087151612,0.05239478810299811,0.901818355315644,normal
460.92278894472366,0.07779096767962754,0.01706113407431108,0.5728422386336763,normal
369.2459296482412,0.33803279548851134,0.2967746935715311,0.9736541744940984,normal
399.6562814070352,0.15395651865008853,0.10263930883924051,0.9048477837367467,normal
309.8957537688442,0.14878175504707303,0.05796406446561965,0.8809432314208802,normal
621.2617336683418,0.2845689739378735,0.25466682692300524,0.9489597004072324,normal
386.22087939698497,0.06181924035576368,0.01697518379062914,0.3557761357887837,normal
221.32143216080402,0.1500548068343776,0.05235736304295218,0.900168989265391,normal
285.08894472361806,0.08030916234374573,0.016865838735431737,0.7372529190129815,normal
359.88517587939697,0.33851820550755296,0.2967771802502765,0.9742843270525796,normal
